dx_code,dx_description,icd_version
E119,TYPE 2 DIABETES MELLITUS WITHOUT COMPLICATIONS,ICD10
E1165,TYPE 2 DIABETES MELLITUS WITH HYPERGLYCEMIA,ICD10
I10,ESSENTIAL PRIMARY HYPERTENSION,ICD10
I2510,ATHEROSCLEROTIC HEART DISEASE OF NATIVE CORONARY ARTERY,ICD10
J449,CHRONIC OBSTRUCTIVE PULMONARY DISEASE UNSPECIFIED,ICD10
J45909,UNSPECIFIED ASTHMA UNCOMPLICATED,ICD10
N183,CHRONIC KIDNEY DISEASE STAGE 3,ICD10
N184,CHRONIC KIDNEY DISEASE STAGE 4,ICD10
M1711,UNILATERAL PRIMARY OSTEOARTHRITIS RIGHT KNEE,ICD10
M545,LOW BACK PAIN,ICD10
F329,MAJOR DEPRESSIVE DISORDER SINGLE EPISODE UNSPECIFIED,ICD10
F411,GENERALIZED ANXIETY DISORDER,ICD10
K219,GASTRO-ESOPHAGEAL REFLUX DISEASE WITHOUT ESOPHAGITIS,ICD10
E785,HYPERLIPIDEMIA UNSPECIFIED,ICD10
D649,ANEMIA UNSPECIFIED,ICD10
R519,HEADACHE UNSPECIFIED,ICD10
Z794,LONG TERM CURRENT USE OF INSULIN,ICD10
I4891,UNSPECIFIED ATRIAL FIBRILLATION,ICD10
G4733,OBSTRUCTIVE SLEEP APNEA,ICD10
E669,OBESITY UNSPECIFIED,ICD10
M797,FIBROMYALGIA,ICD10
R0602,SHORTNESS OF BREATH,ICD10
K5900,CONSTIPATION UNSPECIFIED,ICD10
E039,HYPOTHYROIDISM UNSPECIFIED,ICD10
C61,MALIGNANT NEOPLASM OF PROSTATE,ICD10
C7951,SECONDARY MALIGNANT NEOPLASM OF BONE,ICD10
C50911,MALIGNANT NEOPLASM OF BREAST RIGHT FEMALE,ICD10
C3490,MALIGNANT NEOPLASM OF UNSPECIFIED PART OF BRONCHUS OR LUNG,ICD10
D0511,INTRADUCTAL CARCINOMA IN SITU OF RIGHT BREAST,ICD10
Z5111,ENCOUNTER FOR ANTINEOPLASTIC CHEMOTHERAPY,ICD10
R9720,ELEVATED PROSTATE SPECIFIC ANTIGEN,ICD10
Z8546,PERSONAL HISTORY OF MALIGNANT NEOPLASM OF PROSTATE,ICD10
I5032,CHRONIC DIASTOLIC CONGESTIVE HEART FAILURE,ICD10
N390,URINARY TRACT INFECTION SITE NOT SPECIFIED,ICD10
L03115,CELLULITIS OF RIGHT LOWER LIMB,ICD10
S72001A,FRACTURE OF UNSPECIFIED PART OF NECK OF RIGHT FEMUR,ICD10
T7840,ALLERGY UNSPECIFIED,ICD10
B370,CANDIDAL STOMATITIS,ICD10
H2513,AGE-RELATED NUCLEAR CATARACT BILATERAL,ICD10
H3531,NONEXUDATIVE AGE-RELATED MACULAR DEGENERATION,ICD10
